Name,Domain,Industry,Size,City,Country,Website,Phone,Source
"TechCorp Solutions","techcorp.com","Technology","51-200","San Francisco","USA","https://techcorp.com","+1-555-0100","Apollo"
"Digital Marketing Pro","digitalmarketingpro.com","Marketing","11-50","New York","USA","https://digitalmarketingpro.com","+1-555-0200","Manual"
"Cloud Innovations Ltd","cloudinnovations.io","Cloud Services","201-500","Austin","USA","https://cloudinnovations.io","+1-555-0300","Apify"
"DataTech Analytics","datatech.com","Data Analytics","51-200","Chicago","USA","https://datatech.com","+1-555-0400","Apollo"
"Global Software House","globalsoftware.com","Software Development","501-1000","Seattle","USA","https://globalsoftware.com","+1-555-0500","Manual"
"FinTech Ventures","fintechventures.com","Financial Technology","11-50","Boston","USA","https://fintechventures.com","+1-555-0600","Apify"
"E-Commerce Plus","ecommerceplus.com","E-Commerce","51-200","Los Angeles","USA","https://ecommerceplus.com","+1-555-0700","Apollo"
"Mobile App Studio","mobileappstudio.com","Mobile Development","11-50","Portland","USA","https://mobileappstudio.com","+1-555-0800","Manual"
"AI Research Labs","airesearch.com","Artificial Intelligence","201-500","San Jose","USA","https://airesearch.com","+1-555-0900","Apify"
"Cyber Security Corp","cybersecurity.com","Cybersecurity","101-200","Miami","USA","https://cybersecurity.com","+1-555-1000","Apollo"
